parID,atlas,version,ids,region,vgm
brand_10,neuromorphometrics,1450,1,l3thVen,0.208364003643394
brand_10,neuromorphometrics,1450,2,r3thVen,0.144153378739953
brand_10,neuromorphometrics,1450,3,l4thVen,0.610306716836989
brand_10,neuromorphometrics,1450,4,r4thVen,0.649282574599332
brand_10,neuromorphometrics,1450,5,lAcc,2.77407891553594e-05
brand_10,neuromorphometrics,1450,6,rAcc,0.0012946490473114
brand_10,neuromorphometrics,1450,7,lAmy,0.0308033594968729
brand_10,neuromorphometrics,1450,8,rAmy,0.0391109321193326
brand_10,neuromorphometrics,1450,9,lBst,1.78293152064613
brand_10,neuromorphometrics,1450,10,rBst,1.99579919125983
brand_10,neuromorphometrics,1450,11,lCau,0.0285943144601533
brand_10,neuromorphometrics,1450,12,rCau,0.0794140121021292
brand_10,neuromorphometrics,1450,13,lExtCbe,9.07378444542643
brand_10,neuromorphometrics,1450,14,rExtCbe,10.0638034655249
brand_10,neuromorphometrics,1450,15,lCbeWM,0.633653651229539
brand_10,neuromorphometrics,1450,16,rCbeWM,0.430783220651854
brand_10,neuromorphometrics,1450,17,lCbrWM,0.521491604527922
brand_10,neuromorphometrics,1450,18,rCbrWM,0.66281666943192
brand_10,neuromorphometrics,1450,19,lCSF,0.371867297201301
brand_10,neuromorphometrics,1450,20,rCSF,0.39724129483127
brand_10,neuromorphometrics,1450,21,lHip,0.0974781048723435
brand_10,neuromorphometrics,1450,22,rHip,0.162378004067056
brand_10,neuromorphometrics,1450,23,lInfLatVen,0
brand_10,neuromorphometrics,1450,24,rInfLatVen,0.00719384571909904
brand_10,neuromorphometrics,1450,25,lLatVen,2.54334305704197
brand_10,neuromorphometrics,1450,26,rLatVen,2.25838088861795
brand_10,neuromorphometrics,1450,27,lPal,0
brand_10,neuromorphometrics,1450,28,rPal,0
brand_10,neuromorphometrics,1450,29,lPut,0.00192305738013238
brand_10,neuromorphometrics,1450,30,rPut,0
brand_10,neuromorphometrics,1450,31,lThaPro,0.128814138000424
